# Nome	Cluster
monkeyc2g2s501 0
monkeyc2g2s505 0
monkeyc2g2s506 0
monkeyc2g2s507 0
monkeyc2g2s508 0
monkeyc2g2s509 0
monkeyc2g2s510 0
monkeyc2g2s511 0
monkeyc2g2s512 0
monkeyc2g2s513 0
monkeyc2g2s514 0
monkeyc2g2s517 0
monkeyc2g2s518 0
monkeyc2g2s520 0
monkeyc2g2s521 0
monkeyc2g2s524 0
monkeyc2g2s526 0
monkeyc2g2s528 0
monkeyc2g2s530 0
monkeyc2g2s532 0
monkeyc2g2s533 0
monkeyc2g2s534 0
monkeyc2g2s536 0
monkeyc2g2s537 0
monkeyc2g2s538 0
monkeyc2g2s540 0
monkeyc2g2s541 0
monkeyc2g2s542 0
monkeyc2g2s544 0
monkeyc2g2s547 0
monkeyc2g2s550 0
monkeyc2g2s551 0
monkeyc2g2s552 0
monkeyc2g2s554 0
monkeyc2g2s555 0
monkeyc2g2s556 0
monkeyc2g2s559 0
monkeyc2g2s560 0
monkeyc2g2s561 0
monkeyc2g2s563 0
monkeyc2g2s565 0
monkeyc2g2s566 0
monkeyc2g2s568 0
monkeyc2g2s569 0
monkeyc2g2s570 0
monkeyc2g2s571 0
monkeyc2g2s573 0
monkeyc2g2s574 0
monkeyc2g2s576 0
monkeyc2g2s579 0
monkeyc2g2s581 0
monkeyc2g2s584 0
monkeyc2g2s586 0
monkeyc2g2s588 0
monkeyc2g2s589 0
monkeyc2g2s590 0
monkeyc2g2s592 0
monkeyc2g2s593 0
monkeyc2g2s597 0
monkeyc2g2s598 0
monkeyc2g2s602 0
monkeyc2g2s605 0
monkeyc2g2s607 0
monkeyc2g2s609 0
monkeyc2g2s613 0
monkeyc2g2s614 0
monkeyc2g2s615 0
monkeyc2g2s616 0
monkeyc2g2s618 0
monkeyc2g2s619 0
monkeyc2g2s622 0
monkeyc2g2s626 0
monkeyc2g2s627 0
monkeyc2g2s628 0
monkeyc2g2s629 0
monkeyc2g2s631 0
monkeyc2g2s632 0
monkeyc2g2s635 0
monkeyc2g2s636 0
monkeyc2g2s637 0
monkeyc2g2s638 0
monkeyc2g2s639 0
monkeyc2g2s640 0
monkeyc2g2s641 0
monkeyc2g2s642 0
monkeyc2g2s644 0
monkeyc2g2s645 0
monkeyc2g2s646 0
monkeyc2g2s647 0
monkeyc2g2s650 0
monkeyc2g2s651 0
monkeyc2g2s653 0
monkeyc2g2s654 0
monkeyc2g2s657 0
monkeyc2g2s662 0
monkeyc2g2s663 0
monkeyc2g2s666 0
monkeyc2g2s670 0
monkeyc2g2s671 0
monkeyc2g2s672 0
monkeyc2g2s675 0
monkeyc2g2s676 0
monkeyc2g2s681 0
monkeyc2g2s682 0
monkeyc2g2s683 0
monkeyc2g2s684 0
monkeyc2g2s686 0
monkeyc2g2s687 0
monkeyc2g2s689 0
monkeyc2g2s690 0
monkeyc2g2s694 0
monkeyc2g2s695 0
monkeyc2g2s696 0
monkeyc2g2s697 0
monkeyc2g2s699 0
monkeyc2g2s700 0
monkeyc2g2s701 0
monkeyc2g2s702 0
monkeyc2g2s703 0
monkeyc2g2s704 0
monkeyc2g2s705 0
monkeyc2g2s708 0
monkeyc2g2s709 0
monkeyc2g2s711 0
monkeyc2g2s713 0
