# Nome	Cluster
c2sp1s70 0
c2sp1s71 0
c2sp1s72 0
c2sp1s73 0
c2sp1s74 0
c2sp1s75 0
c2sp1s76 0
c2sp1s77 0
c2sp1s78 0
c2sp1s80 0
c2sp1s81 0
c2sp1s82 0
c2sp1s83 0
c2sp1s84 0
c2sp1s85 0
c2sp1s86 0
c2sp1s87 0
c2sp1s88 0
c2sp1s89 0
c2sp1s91 0
c2sp1s92 0
c2sp1s93 0
c2sp1s94 0
c2sp1s95 0
c2sp1s96 0
c2sp1s97 0
c2sp1s98 0
c2sp1s99 0
c2sp1s100 0
c2sp1s102 0
c2sp1s103 0
c2sp1s104 0
c2sp1s105 0
c2sp1s106 0
c2sp1s107 0
c2sp1s108 0
c2sp1s109 0
c2sp1s110 0
c2sp1s111 0
c2sp1s114 0
c2sp1s115 0
c2sp1s116 0
c2sp1s117 0
c2sp1s118 0
c2sp1s119 0
c2sp1s120 0
c2sp1s121 0
c2sp1s122 0
c2sp1s123 0
c2sp1s125 0
c2sp1s126 0
c2sp1s127 0
c2sp1s128 0
c2sp1s129 0
c2sp1s130 0
c2sp1s131 0
c2sp1s132 0
c2sp1s133 0
c2sp1s134 0
c2sp1s136 0
c2sp1s137 0
c2sp1s138 0
c2sp1s139 0
c2sp1s140 0
c2sp1s141 0
c2sp1s142 0
c2sp1s143 0
c2sp1s144 0
c2sp1s145 0
c2sp1s147 0
c2sp1s148 0
c2sp2s502 0
c2sp2s503 0
c2sp2s504 0
c2sp2s505 0
c2sp2s506 0
c2sp2s507 0
c2sp2s508 0
c2sp2s509 0
c2sp2s510 0
c2sp2s511 0
c2sp2s512 0
c2sp2s513 0
c2sp2s514 0
c2sp2s515 0
c2sp2s516 0
c2sp2s517 0
c2sp2s518 0
c2sp2s519 0
c2sp2s520 0
c2sp2s521 0
c2sp2s522 0
c2sp2s523 0
c2sp2s524 0
c2sp2s525 0
c2sp2s526 0
c2sp2s527 0
c2sp2s528 0
c2sp2s529 0
c2sp2s530 0
c2sp2s531 0
c2sp2s532 0
c2sp2s533 0
c2sp2s534 0
c2sp2s535 0
c2sp2s536 0
c2sp2s537 0
c2sp2s538 0
c2sp2s539 0
c2sp2s540 0
c2sp2s541 0
c2sp2s542 0
c2sp2s543 0
c2sp2s544 0
c2sp2s545 0
c2sp2s546 0
c2sp2s547 0
c2sp2s548 0
c2sp2s549 0
c2sp2s550 0
c2sp2s551 0
c2sp2s552 0
c2sp2s553 0
c2sp2s554 0
c2sp2s555 0
c2sp2s556 0
c2sp2s557 0
c2sp2s558 0
c2sp2s559 0
c2sp2s560 0
c2sp2s561 0
c2sp2s562 0
c2sp2s563 0
c2sp2s564 0
c2sp2s565 0
c2sp2s566 0
c2sp2s567 0
c2sp2s568 0
c2sp2s569 0
c2sp2s570 0
c2sp2s571 0
c2sp2s572 0
c2sp2s573 0
c2sp2s834 0
c2sp2s835 0
c2sp2s836 0
c2sp2s837 0
c2sp2s838 0
c2sp2s839 0
c2sp2s840 0
c2sp2s841 0
c2sp2s842 0
c2sp2s843 0
c2sp2s844 0
c2sp2s845 0
c2sp2s846 0
c2sp2s847 0
c2sp2s848 0
c2sp2s849 0
c2sp2s850 0
c2sp2s851 0
c2sp2s852 0
c2sp2s853 0
c2sp2s854 0
c2sp2s855 0
c2sp2s856 0
c2sp2s857 0
c2sp2s858 0
c2sp2s859 0
c2sp2s860 0
c2sp2s861 0
c2sp2s862 0
c2sp2s863 0
c2sp2s864 0
c2sp2s865 0
c2sp2s866 0
c2sp2s867 0
c2sp2s868 0
c2sp2s869 0
c2sp2s870 0
c2sp2s871 0
c2sp2s872 0
c2sp2s873 0
c2sp2s874 0
c2sp2s875 0
c2sp2s876 0
c2sp2s877 0
c2sp2s878 0
c2sp2s879 0
c2sp2s880 0
c2sp2s881 0
c2sp2s882 0
c2sp2s883 0
c2sp2s884 0
c2sp2s885 0
c2sp2s886 0
c2sp2s887 0
c2sp2s888 0
c2sp2s889 0
c2sp2s890 0
c2sp2s891 0
c2sp2s892 0
c2sp2s893 0
c2sp2s894 0
c2sp2s895 0
c2sp2s896 0
c2sp1s215 1
c2sp1s216 1
c2sp1s217 1
c2sp1s218 1
c2sp1s219 1
c2sp1s220 1
c2sp1s221 1
c2sp1s222 1
c2sp1s225 1
c2sp1s226 1
c2sp1s227 1
c2sp1s228 1
c2sp1s229 1
c2sp1s230 1
c2sp1s231 1
c2sp1s232 1
c2sp1s233 1
c2sp1s234 1
c2sp1s236 1
c2sp1s237 1
c2sp1s238 1
c2sp1s239 1
c2sp1s240 1
c2sp1s241 1
c2sp1s242 1
c2sp1s243 1
c2sp1s244 1
